popName	popUId	sampleUId	2N	locusSymbol	siteName	alleleSymbol	entryDate	frequency
Croatian	PO000203F	SA001084N	334	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	16.3	2005-01-31	0.07
Croatian	PO000203F	SA001084N	334	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	14	2005-01-31	0.07
Croatian	PO000203F	SA001084N	334	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	15	2005-01-31	0.11
Croatian	PO000203F	SA001084N	334	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	11	2005-01-31	0.08
Croatian	PO000203F	SA001084N	334	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	16	2005-01-31	0.06
Croatian	PO000203F	SA001084N	334	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	17	2005-01-31	0.05
Croatian	PO000203F	SA001084N	334	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	13	2005-01-31	0.12
Croatian	PO000203F	SA001084N	334	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	15.3	2005-01-31	0.18
Croatian	PO000203F	SA001084N	334	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	12	2005-01-31	0.12
Germans	PO000135J	SA000920L	300	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	12	2004-04-29	0.12
Germans	PO000135J	SA000920L	300	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	14	2004-04-29	0.1
Germans	PO000135J	SA000920L	300	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	15	2004-04-29	0.11
Germans	PO000135J	SA000920L	300	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	18	2004-04-29	0.02
Germans	PO000135J	SA000920L	300	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	11	2004-04-29	0.08
Germans	PO000135J	SA000920L	300	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	15.3	2004-04-29	0.1
Germans	PO000135J	SA000920L	300	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	16.3	2004-04-29	0.05
Germans	PO000135J	SA000920L	300	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	18.3	2004-04-29	0.07
Germans	PO000135J	SA000920L	300	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	13	2004-04-29	0.07
Germans	PO000135J	SA000920L	300	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	19.3	2004-04-29	0.01
Germans	PO000135J	SA000920L	300	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	9	2004-04-29	0.0
Germans	PO000135J	SA000920L	300	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	16	2004-04-29	0.07
Germans	PO000135J	SA000920L	300	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	17	2004-04-29	0.04
Germans	PO000135J	SA000920L	300	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	17.3	2004-04-29	0.16
Italians	PO000137L	SA001298U	430	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	19	2005-04-14	0.01
Italians	PO000137L	SA001298U	430	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	17.3	2005-04-14	0.09
Italians	PO000137L	SA001298U	430	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	15	2005-04-14	0.18
Italians	PO000137L	SA001298U	430	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	18.3	2005-04-14	0.05
Italians	PO000137L	SA001298U	430	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	18	2005-04-14	0.04
Italians	PO000137L	SA001298U	430	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	12	2005-04-14	0.11
Italians	PO000137L	SA001298U	430	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	11	2005-04-14	0.1
Italians	PO000137L	SA001298U	430	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	16	2005-04-14	0.14
Italians	PO000137L	SA001298U	430	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	13	2005-04-14	0.06
Italians	PO000137L	SA001298U	430	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	15.3	2005-04-14	0.05
Italians	PO000137L	SA001298U	430	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	17	2005-04-14	0.04
Italians	PO000137L	SA001298U	430	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	19.3	2005-04-14	0.01
Italians	PO000137L	SA001298U	430	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	16.3	2005-04-14	0.06
Italians	PO000137L	SA001298U	430	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	10	2005-04-14	0.01
Italians	PO000137L	SA001298U	430	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	14.3	2005-04-14	0.01
Italians	PO000137L	SA001298U	430	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	14	2005-04-14	0.09
Maghrib	PO000484Q	SA001017J	72	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	15	2004-11-17	0.17
Maghrib	PO000484Q	SA001017J	72	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	11	2004-11-17	0.07
Maghrib	PO000484Q	SA001017J	72	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	10	2004-11-17	0.01
Maghrib	PO000484Q	SA001017J	72	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	12	2004-11-17	0.13
Maghrib	PO000484Q	SA001017J	72	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	17	2004-11-17	0.03
Maghrib	PO000484Q	SA001017J	72	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	14	2004-11-17	0.15
Maghrib	PO000484Q	SA001017J	72	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	19.3	2004-11-17	0.01
Maghrib	PO000484Q	SA001017J	72	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	13	2004-11-17	0.14
Maghrib	PO000484Q	SA001017J	72	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	16.3	2004-11-17	0.03
Maghrib	PO000484Q	SA001017J	72	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	18.3	2004-11-17	0.03
Maghrib	PO000484Q	SA001017J	72	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	16	2004-11-17	0.11
Maghrib	PO000484Q	SA001017J	72	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	17.3	2004-11-17	0.13
Spaniards	PO000321G	SA000907Q	104	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	16	2004-04-16	0.09
Spaniards	PO000321G	SA000907Q	104	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	14	2004-04-16	0.09
Spaniards	PO000321G	SA000907Q	104	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	19.3	2004-04-16	0.01
Spaniards	PO000321G	SA000907Q	104	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	17	2004-04-16	0.15
Spaniards	PO000321G	SA000907Q	104	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	15.3	2004-04-16	0.06
Spaniards	PO000321G	SA000907Q	104	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	15	2004-04-16	0.16
Spaniards	PO000321G	SA000907Q	104	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	18.3	2004-04-16	0.07
Spaniards	PO000321G	SA000907Q	104	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	13	2004-04-16	0.05
Spaniards	PO000321G	SA000907Q	104	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	17.3	2004-04-16	0.12
Spaniards	PO000321G	SA000907Q	104	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	11	2004-04-16	0.06
Spaniards	PO000321G	SA000907Q	104	D1S1656	D1S1656 (GATA) subn/sub tetranucleotide repeat	12	2004-04-16	0.14
